salinity_surface_psu,temperature_surface_°c,mean_wind_speed_prior_week_m_s⁻¹,precipitation_prior_wk_cm,irradiance_w_m⁻²,total_river_m_s⁻¹
28.55,18.2,4.4704,0.6096,278.7,33.111744
29.56,17.5,4.828032,0.3556,256.8,26.821872
29.11,19.8,5.319776,2.5146,279.1,21.189024
29.85,19.8,4.380992,0.9652,259.4,18.589247999999998
30.14,20.1,3.844544,0.0508,221.1,13.91928
29.76,20.4,4.872736,2.286,220.6,12.928080000000001
30.61,21.5,3.6657279999999997,2.5146,230.5,12.51744
30.62,21.3,3.933952,1.4732,188.9,12.115296
30.28,21.5,3.3975039999999996,1.4224,220.8,11.520576
30.79,20.4,5.006848,0.0,279.6,8.833008
30.55,20.8,4.783328,2.9718,137.7,8.252448000000001
30.93,20.8,4.604512000000001,5.207,208.1,13.780512000000002
30.32,23.0,3.308096,1.3462,203.0,11.990687999999999
30.72,22.7,3.7104320000000004,0.0,182.5,9.073728
30.57,19.8,5.14096,2.1844,169.8,10.968336
29.61,19.8,6.25856,16.7894,178.5,65.883648
28.93,18.9,3.486912,1.4732,136.6,39.614016
29.47,17.9,3.79984,2.8194,128.6,35.850288000000006
30.1,15.2,4.336288,1.6002,117.2,23.519759999999998
29.94,12.7,6.884416,0.1778,99.5,22.333152
30.19,12.7,5.14096,0.0,107.8,19.01688
30.48,12.5,4.380992,0.0,93.9,16.555872
30.75,10.6,4.24688,0.3556,73.8,18.674208
30.55,9.2,4.69392,5.207,61.6,22.602192
30.08,7.3,6.079744,2.3114,94.6,36.847151999999994
30.12,6.7,4.783328,0.0,75.5,27.722448
30.77,5.9,5.409184,0.127,71.4,24.290064
30.03,2.9,5.275072000000001,4.0386,46.9,24.530783999999997
30.08,2.4,5.990336,1.7272,71.4,31.902480000000004
29.94,1.7,4.515104,1.905,64.9,34.439952
29.99,2.9,5.319776,8.89,87.1,61.46856
28.69,2.0,4.604512000000001,1.8542,90.7,65.66841600000001
29.6,2.6,4.9621439999999994,0.3302,91.1,72.977808
28.59,1.8,6.079744,0.4318,78.4,57.076128
30.39,2.2,5.6327039999999995,0.635,119.1,40.319184
29.23,0.1,4.738624,1.0668,134.7,35.969232000000005
29.94,0.6,4.649216,6.096,84.5,28.606032
29.74,1.0,4.4704,4.9276,131.2,29.801136
28.57,3.3,5.588,0.0508,216.9,120.58372800000001
29.13,4.2,6.169152,0.0,170.2,92.91792
27.83,5.5,6.079744,6.0198,210.5,106.429392
28.69,7.2,5.319776,2.5654,167.4,110.54995199999999
28.55,6.4,6.5714879999999996,1.1938,230.8,76.245936
29.96,7.2,5.275072000000001,0.3302,272.1,52.06348800000001
28.31,10.4,6.8397120000000005,0.254,127.4,33.822576
29.52,9.6,5.2303679999999995,1.4986,291.5,39.022127999999995
29.94,10.8,5.453887999999999,2.9718,201.5,28.739136
29.61,13.8,3.79984,0.1778,273.5,40.364496
29.36,15.7,4.872736,0.7874,313.5,28.937376
30.97,16.8,5.453887999999999,0.0,282.1,20.608463999999998
30.1,18.6,5.185664,3.1496,200.2,23.672688
30.62,17.3,4.828032,3.937,187.3,25.791024
29.49,19.8,4.02336,6.6294,303.9,19.436016
30.48,20.2,4.157472,3.3274,232.7,9.645792
30.41,19.6,4.157472,0.0508,205.8,12.460799999999999
30.7,20.4,3.844544,0.2286,232.5,9.764736
30.97,20.4,4.559807999999999,0.508,242.6,10.339632
30.91,22.1,4.02336,0.0508,181.0,8.507328
30.95,20.7,4.336288,1.3208,236.5,10.243344
30.99,21.9,3.79984,0.0508,113.0,9.215328
30.72,20.5,5.006848,4.0132,219.2,11.939712
31.08,18.8,3.844544,0.3302,212.3,9.051072
31.44,18.6,4.738624,1.3462,189.6,8.224128
